Student_ID,University,Gender,Academic_Year,Course,Student_Fees,Professor_Salary,Professor_Experience_Years
S0001,Helwan University,Female,2,Engineering,9206,17352,7
S0002,Helwan University,Female,1,Pharmacy,16162,25485,7
S0003,Cairo University,Male,4,Law,11326,27940,16
S0004,Alexandria University,Male,1,Medicine,21227,20115,25
S0005,Alexandria University,Male,4,Computer Science,12739,17384,2
S0006,Cairo University,Male,3,Business,13708,28161,28
S0007,Alexandria University,Male,1,Engineering,22739,24025,29
S0008,Mansoura University,Male,4,Business,11882,23900,2
S0009,Alexandria University,Male,2,Computer Science,19075,20498,26
S0010,Ain Shams University,Female,3,Pharmacy,20937,21348,6
S0011,Alexandria University,Female,1,Pharmacy,21283,23785,15
S0012,Cairo University,Female,3,Engineering,12406,15968,33
S0013,Helwan University,Male,1,Business,22445,25441,31
S0014,Cairo University,Male,4,Business,21955,26081,20
S0015,Ain Shams University,Female,3,Medicine,13068,18976,18
S0016,Alexandria University,Male,1,Pharmacy,23893,24804,25
S0017,Ain Shams University,Male,1,Medicine,20136,20475,10
S0018,Alexandria University,Male,1,Pharmacy,19748,26488,18
S0019,Helwan University,Male,1,Pharmacy,13555,28362,4
S0020,Alexandria University,Female,3,Medicine,21474,28934,6
S0021,Helwan University,Female,3,Medicine,21019,28420,6
S0022,Alexandria University,Male,1,Computer Science,15099,26224,26
S0023,Mansoura University,Male,3,Business,11917,21989,29
S0024,Cairo University,Female,3,Medicine,24011,25485,15
S0025,Cairo University,Male,2,Medicine,20251,26273,24
S0026,Ain Shams University,Female,4,Business,13854,16365,34
S0027,Cairo University,Female,3,Computer Science,13519,27596,14
S0028,Alexandria University,Female,4,Pharmacy,9725,27673,30
S0029,Helwan University,Female,3,Law,12649,24772,5
S0030,Cairo University,Male,1,Computer Science,17145,20806,4
S0031,Mansoura University,Female,3,Computer Science,22101,23261,13
S0032,Cairo University,Female,2,Pharmacy,18631,19811,30
S0033,Helwan University,Female,4,Law,20838,27644,10
S0034,Ain Shams University,Male,4,Pharmacy,18471,17100,3
S0035,Alexandria University,Female,2,Business,9747,18289,31
S0036,Cairo University,Male,3,Medicine,18328,28232,12
S0037,Alexandria University,Male,2,Computer Science,14593,27707,15
S0038,Mansoura University,Male,4,Business,9289,19630,22
S0039,Mansoura University,Female,3,Business,11339,26116,29
